,title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,language
798,,,22.49,,,,,,,,,
799,,,24.0,,,,,,,,,
800,,,46.491537396121885,,,,,,,,,
801,,,73.61,,,,,,,,,
802,,,19.69,,,,,,,,,
803,,,10.5,,,,,,,,,
804,,,9.99,,,,,,,,,
805,,,25.57,,,,,,,,,
806,,,30.0,,,,,,,,,
807,,,37.99,,,,,,,,,
808,,,,,,,,,,,,
809,,,59.45,,,,,,,,,
810,,,41.99,,,,,,,,,
811,,,40.94,,,,,,,,,
812,,,18.0,,,,,,,,,
813,,,,,,,,,,,,
814,,,49.99,,,,,,,,,
815,,,45.42,,,,,,,,,
816,,,46.491537396121885,,,,,,,,,
817,,,46.491537396121885,,,,,,,,,
818,,,46.491537396121885,,,,,,,,,
819,,,24.95,,,,,,,,,
820,,,25.62,,,,,,,,,
821,,,39.02,,,,,,,,,
822,,,29.99,,,,,,,,,
823,,,51.99,,,,,,,,,
824,,,9.69,,,,,,,,,
825,,,5.33,,,,,,,,,
826,,,55.18,,,,,,,,,
827,,,44.99,,,,,,,,,
828,,,46.491537396121885,,,,,,,,,
829,,,38.49,,,,,,,,,
